0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i1,0,0,0,0,0,0,0,0,0,i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i0,0,0,0,0,0,0,0,0,i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H21,H20,H20,H20,H20,H21,H20,H20,H20,H20,H21,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H21,0,0,E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N22,0,0,0,0,N22,0,0,0,0,N22,0,0,0,0,H21,H20,H21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H21,0,N22,0,H21,0,0,0,H21,H20,H20,H21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,H21,H20,H21,0,0,0,N22,0,0,0,0,N22,0,0,0,0,N22,0,0,0,0,N22,0,N22,0,0,0,0,0,0,0,H21,H20,H20,H21,0,0,0,0,0,0,0,0,H21,H20,H20,H21,0,0,0,N22,0,N22,0,N22,0,0,0,N22,0,0,N22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,,p,0,H21,N22,0,N22,0,0,0,N22,0,0,0,0,N22,0,0,0,0,N22,0,0,0,0,N22,0,N22,0,0,0,0,E4,0,0,N22,0,0,N22,0,0,H21,H20,H20,H21,0,0,N22,0,0,N22,0,0,0,N22,0,N22,0,N22,0,0,0,N22,0,0,N22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G55,0
N03,N02,N00,N01,N02,N03,N04,N00,N01,N22,N24,N03,N24,N01,N02,N03,N24,N00,N01,N02,N03,N24,N00,N01,N02,N03,N24,N00,N01,N02,N03,N24,N01,N24,N00,N00,N01,N02,N03,N00,N01,N24,N03,N00,N24,N02,N03,N24,N00,N01,N24,N03,N04,N24,N01,N02,N24,B37,E1,N01,N24,N03,N24,N00,N24,N02,E1,B37,N24,N01,N02,N24,N04,N00,N01,N02,N03,N04,N00,N01,N02,N03,N04,N04,N00,N01,N02,N03,N04,N00,N01,N02,N03,N04
B10,B14,B14,B10,B14,B10,B10,B13,B14,B10,B14,B10,B10,B11,B12,B13,B14,B10,B11,B14,B10,B14,B10,B11,B12,B13,B14,B10,B14,B10,B12,B11,B12,B11,B14,B10,B14,B10,B13,B14,B10,B14,B10,B13,B11,B12,B11,B12,B13,B11,B12,B11,B12,B11,B14,B10,B14,B10,B14,B10,B14,B10,B12,B11,B12,B14,B10,B14,B10,B12,B11,B14,B10,B14,B10,B11,B14,B10,B14,B10,B11,B12,B14,B10,B14,B10,B12,B13,B14,B14,B10,B14,B10,B14
B10,B14,B13,B14,B14,B10,B14,B10,B12,B13,B11,B12,B13,B14,B13,B14,B14,B10,B14,B10,B10,B14,B10,B14,B10,B10,B12,B13,B14,B13,B14,B10,B12,B13,B14,B13,B13,B14,B10,B10,B12,B13,B14,B13,B14,B10,B12,B13,B14,B13,B14,B10,B10,B12,B13,B14,B13,B10,B11,B13,B14,B10,B11,B13,B14,B10,B10,B12,B13,B14,B13,B11,B12,B13,B13,B14,B10,B12,B13,B14,B10,B12,B13,B14,B10,B12,B13,B14,B13,B12,B13,B14,B10,B11
